"","Genedataset1.FC","Genedataset1.FDR","Genedataset2.FC","Genedataset2.FDR","Genedataset3.FC","Genedataset3.FDR","Genedataset4.FC","Genedataset4.FDR","Count"
"39873","0.807811242705432","0.0391101994009104","no value","no value","no value","no value","no value","no value",-1
"39874","0.421271106409164","0.000522347209469949","Inf","0.00691081064126896","no value","no value","no value","no value",0
"39875","0.410028741515641","0.000829611859625766","1.26142395467853","7.64590674213679e-05","no value","no value","no value","no value",0
"39877","0.573085263137783","0.0125305499155181","1.20614618917959","0.672909991360551","no value","no value","no value","no value",-1
"39878","0.443070479815976","2.7969651922175e-05","5.1789486706866","0.0096450941346229","no value","no value","no value","no value",0
"39879","0.60621478903703","0.000226161550507024","1.5210947066866","0.178781979820364","no value","no value","no value","no value",-1
"39880","0.6387435668635","0.0209088910403058","1.25461241108939","0.746487003507993","no value","no value","no value","no value",-1
"39905","0.431115536658014","6.24390297260389e-09","0.541501926564425","0.000399843288809951","no value","no value","no value","no value",-2
"40057","0.588667539131073","2.37157385636446e-06","0.54296235384197","1.08925323049292e-11","no value","no value","no value","no value",-2
"40058","0.630133551213627","0.0814577865124163","Inf","0.000343706739182083","no value","no value","no value","no value",0
"40059","0.306666347757051","3.01404391467304e-08","0.319492825061819","0.0174271696363179","no value","no value","no value","no value",-2
"40060","1.4234429162941","0.242675081028987","7.77937758005272","1.32543165303922e-07","no value","no value","no value","no value",1
"40061","0.734169707209231","0.00335207856594915","0.889985401913576","0.000235487527266529","no value","no value","no value","no value",-2
"40062","0.778170667385645","0.687637347866032","31.0876832846782","3.17507301421754e-09","no value","no value","no value","no value",1
"40063","0.448523928798255","0.000642148207076409","1.25431348334142","0.798645827349603","no value","no value","no value","no value",-1
"40065","1.58851017222261","0.00258780815863524","1.34747178299229","0.0114784297165587","no value","no value","no value","no value",2
"40066","0.686614893121852","0.00128919900199509","0.536009289614279","0.000253691376107697","no value","no value","no value","no value",-2
"40067","0.624720042131744","0.000468448502864606","Inf","0.316220437097278","no value","no value","no value","no value",-1
"40071","0.470639609657789","0.000332231288784626","0.878580546103487","0.889404378428276","no value","no value","no value","no value",-1
"40148","0.763687252221484","0.0335879123289331","no value","no value","no value","no value","no value","no value",-1
"7A5","0.432313312787181","0.000989927612317934","no value","no value","no value","no value","no value","no value",-1
"A1BG","0.809402116027042","0.00215132989578948","0.815140206172121","9.87221808501182e-08","no value","no value","13.5827578664916","0.00193459644276046",-1
"A2BP1","3.20679329626237","0.0155416654218324","4.94487054848984","8.0989388966987e-09","no value","no value","0.842313376050608","0.00860770272842563",1
"A2LD1","no value","no value","no value","no value","no value","no value","0.979584583390458","0.301612084935544",0
"A2M","1.2635361487138","0.0740307398108728","no value","no value","no value","no value","1.35670871221","0.000153729869134114",2
"A2ML1","0.287291066203057","2.37022245112049e-11","0.393330997918677","0.000654579851114913","no value","no value","0.802993915624376","2.33734928877867e-05",-3
"A4GALT","0.628958361158724","0.0070555248716952","0.556110875297659","0.082735226424497","no value","no value","1.32219056017059","0.0974030422725618",-1
"A4GNT","0.681957239307356","7.39867382273598e-06","0.78125404289916","5.88980639134122e-07","no value","no value","0.720094254089067","5.98421652549842e-05",-3
"AAAS","0.398870681810078","6.02467864682717e-06","no value","no value","no value","no value","0.920795858007455","0.0512363730047275",-2
"AACS","0.568234320831837","0.00928158217086102","no value","no value","no value","no value","0.867192379801182","0.0892400127648527",-2
"AACSL","no value","no value","no value","no value","no value","no value","1.00481499683438","0.356880232173721",0
"AADAC","0.920363497645855","0.0170510589850062","0.866054690492004","9.11511094471145e-06","no value","no value","0.960279670752191","0.00740944319579899",-3
"AADACL2","0.919948370788965","0.343599356276132","no value","no value","no value","no value","0.878100279445483","0.000689304723534603",-1
"AADAT","0.393756966169535","3.16204678588078e-05","0.489048561065755","0.527398002516977","no value","no value","0.880179649536925","0.32904683311638",-1
"AAK1","0.631920281585213","0.0624995458433723","1.33271435933408","0.582600494455027","no value","no value","0.915522243855055","0.00370875288445732",-2
"AAMP","0.522992693960305","0.00612757768245215","Inf","0.173909868087283","no value","no value","1.17684270558453","0.00637323363798985",0
"AANAT","0.813234262929194","0.00175080617530165","0.799534688687768","5.13695847724413e-05","no value","no value","1.02294529298397","0.783573627537672",-2
"AARS","0.497962471513662","5.68371368769682e-05","7.59301278458574","0.0417818117868738","no value","no value","0.974615655726227","0.476568706284071",0
"AARS2","no value","no value","no value","no value","no value","no value","0.417790941248592","6.07094855450936e-06",-1
"AARSD1","0.786024705413619","0.00214350285842877","0.764481576239446","0.00072487125360138","no value","no value","1.00201057953292","0.881968966908653",-2
"AASDH","0.40884158648204","0.00117734856742462","7.64634979490696","0.000458086314117368","no value","no value","1.04729505536291","0.765695208591346",0
"AASS","1.00942460503611","0.759374305720345","no value","no value","no value","no value","1.75241216380406","0.00432136333927175",1
"AATF","0.487237018309714","1.5716925363501e-05","0.460842745149246","0.443718855859322","no value","no value","0.850907743571121","0.00296263614581649",-2
"AATK","0.507375450738196","3.52068127785652e-06","0.474861790320318","2.99288562770755e-13","0.552697158313332","4.47823774659269e-12","0.889119731017382","0.000510561131222427",-4
"ABAT","0.570079575723316","2.50270729221679e-05","Inf","0.0638673473787833","no value","no value","0.903899142956906","0.118574220198701",0
"ABC1","0.639284434890946","0.0193394841722096","1.3959036564221","0.389800982956715","no value","no value","no value","no value",-1
"ABCA1","0.453341454953364","0.0029505554628315","0.5112750490641","0.462807535682993","1.64166893273903","0.00130183941293813","1.05460604239454","0.356167223779301",0
"ABCA10","no value","no value","no value","no value","no value","no value","0.728682026763521","0.0737442812947647",-1
"ABCA11","0.567257121503619","0.029561861710806","6.10263167142834","0.017537656229337","no value","no value","no value","no value",0
"ABCA11P","no value","no value","no value","no value","no value","no value","1.19314125081478","0.40088438300006",0
"ABCA12","no value","no value","no value","no value","no value","no value","1.00158730831376","0.802123364073065",0
"ABCA13","no value","no value","no value","no value","no value","no value","1.09077495469421","0.0235124488356998",1
"ABCA17P","no value","no value","no value","no value","no value","no value","0.514287075732391","0.000155878894293699",-1
"ABCA2","0.692061942719044","1.29022537627586e-05","Inf","0.03001234563507","no value","no value","1.17015429306719","0.457771783339235",0
"ABCA3","0.28986554119594","0.00190597542840116","3.51563436248158","5.13252588312017e-06","no value","no value","1.02554104683119","0.579154987184133",0
"ABCA4","0.592745864482159","0.000110491112529192","0.636453907760761","0.0001907209728746","no value","no value","1.3888592023981","0.00133724307696017",-1
"ABCA5","0.526164582023939","0.01181418386794","0.688382825824093","0.289569747660356","no value","no value","0.848578349669168","0.0196183824949289",-2
"ABCA6","0.53553469989363","0.000122662153435189","no value","no value","no value","no value","1.19682211152639","0.085045441067885",0
"ABCA7","0.455966603330927","4.87189811482597e-09","183.76561207421","2.26965657854426e-05","no value","no value","0.868533618391541","0.257532869853246",0
"ABCA8","1.50697388373804","0.00188166993447912","1.14095004772856","0.0342869059913382","no value","no value","1.13588413035331","0.435481088363677",2
"ABCA9","1.16505525652147","0.000358480341537466","no value","no value","no value","no value","1.86477346236263","0.00152554249992176",2
"ABCB1","0.303085755255576","2.79531305306947e-13","0.357092880861638","0.27277633629726","4.14852471487013","0.000458809241678364","2.27483332955425","5.27520136843071e-05",1
