,Genedataset1.FC,Genedataset1.FDR,Genedataset2.FC,Genedataset2.FDR,Genedataset3.FC,Genedataset3.FDR,Genedataset4.FC,Genedataset4.FDR
39873,0.807811243,0.039110199,no value,no value,no value,no value,no value,no value
39874,0.421271106,0.000522347,Inf,0.006910811,no value,no value,no value,no value
39875,0.410028742,0.000829612,1.276422999,5.95E-06,no value,no value,no value,no value
39877,0.573085263,0.01253055,1.147150641,0.709612573,no value,no value,no value,no value
39878,0.44307048,2.80E-05,2.257373462,0.150646757,no value,no value,no value,no value
39879,0.606214789,0.000226162,1.603017327,0.093542794,no value,no value,no value,no value
39880,0.638743567,0.020908891,1.46371448,0.63826133,no value,no value,no value,no value
39905,0.431115537,6.24E-09,0.525029418,9.54E-05,no value,no value,no value,no value
40057,0.588667539,2.37E-06,0.567574023,4.57E-05,no value,no value,no value,no value
40058,0.630133551,0.081457787,Inf,0.000343707,no value,no value,no value,no value
40059,0.306666348,3.01E-08,0.26672879,0.021730727,no value,no value,no value,no value
40060,1.423442916,0.242675081,9.07594051,5.62E-09,no value,no value,no value,no value
40061,0.734169707,0.003352079,0.891553044,2.34E-05,no value,no value,no value,no value
40062,0.778170667,0.687637348,1.501338172,0.801225494,no value,no value,no value,no value
40063,0.448523929,0.000642148,1.221219595,0.887010364,no value,no value,no value,no value
40065,1.588510172,0.002587808,1.462380835,0.010844734,no value,no value,no value,no value
40066,0.686614893,0.001289199,0.530262714,1.66E-05,no value,no value,no value,no value
40067,0.624720042,0.000468449,Inf,0.316220437,no value,no value,no value,no value
40071,0.47063961,0.000332231,0.483344362,0.417704942,no value,no value,no value,no value
40148,0.763687252,0.033587912,no value,no value,no value,no value,no value,no value
7A5,0.432313313,0.000989928,no value,no value,no value,no value,no value,no value
A1BG,0.809402116,0.00215133,0.820240269,1.25E-08,no value,no value,13.58275787,0.001934596
A2BP1,3.206793296,0.015541665,5.76901564,1.82E-09,no value,no value,0.842313376,0.008607703
A2LD1,no value,no value,no value,no value,no value,no value,0.979584583,0.301612085
A2M,1.263536149,0.07403074,no value,no value,no value,no value,1.356708712,0.00015373
A2ML1,0.287291066,2.37E-11,0.380630932,0.000124045,no value,no value,0.802993916,2.34E-05
A4GALT,0.628958361,0.007055525,0.571838842,0.050254493,no value,no value,1.32219056,0.097403042
A4GNT,0.681957239,7.40E-06,0.798765045,0.00010911,no value,no value,0.720094254,5.98E-05
AAAS,0.398870682,6.02E-06,no value,no value,no value,no value,0.920795858,0.051236373
AACS,0.568234321,0.009281582,no value,no value,no value,no value,0.86719238,0.089240013
AACSL,no value,no value,no value,no value,no value,no value,1.004814997,0.356880232
AADAC,0.920363498,0.017051059,0.869761728,7.49E-07,no value,no value,0.960279671,0.007409443
AADACL2,0.919948371,0.343599356,no value,no value,no value,no value,0.878100279,0.000689305
AADAT,0.393756966,3.16E-05,0.524488615,0.358391447,no value,no value,0.88017965,0.329046833
AAK1,0.631920282,0.062499546,1.54592046,0.386473087,no value,no value,0.915522244,0.003708753
AAMP,0.522992694,0.006127578,Inf,0.173909868,no value,no value,1.176842706,0.006373234
AANAT,0.813234263,0.001750806,0.804535747,4.53E-06,no value,no value,1.022945293,0.783573628
AARS,0.497962472,5.68E-05,8.858514915,0.032474254,no value,no value,0.974615656,0.476568706
AARS2,no value,no value,no value,no value,no value,no value,0.417790941,6.07E-06
AARSD1,0.786024705,0.002143503,0.761394374,5.76E-05,no value,no value,1.00201058,0.881968967
AASDH,0.408841586,0.001177349,3.904390573,0.008214683,no value,no value,1.047295055,0.765695209
AASS,1.009424605,0.759374306,no value,no value,no value,no value,1.752412164,0.004321363
AATF,0.487237018,1.57E-05,0.537649869,0.51824745,no value,no value,0.850907744,0.002962636
AATK,0.507375451,3.52E-06,0.507787171,0.000295155,0.552697158,4.48E-12,0.889119731,0.000510561
ABAT,0.570079576,2.50E-05,Inf,0.063867347,no value,no value,0.903899143,0.11857422
ABC1,0.639284435,0.019339484,1.528295066,0.236864738,no value,no value,no value,no value
ABCA1,0.453341455,0.002950555,0.596487557,0.696516557,1.641668933,0.001301839,1.054606042,0.356167224
ABCA10,no value,no value,no value,no value,no value,no value,0.728682027,0.073744281
ABCA11,0.567257122,0.029561862,3.864155323,0.040986887,no value,no value,no value,no value
ABCA11P,no value,no value,no value,no value,no value,no value,1.193141251,0.400884383
ABCA12,no value,no value,no value,no value,no value,no value,1.001587308,0.802123364
ABCA13,no value,no value,no value,no value,no value,no value,1.090774955,0.023512449
ABCA17P,no value,no value,no value,no value,no value,no value,0.514287076,0.000155879
ABCA2,0.692061943,1.29E-05,Inf,0.030012346,no value,no value,1.170154293,0.457771783
ABCA3,0.289865541,0.001905975,2.538140313,0.003625628,no value,no value,1.025541047,0.579154987
ABCA4,0.592745864,0.000110491,0.626032558,1.91E-05,no value,no value,1.388859202,0.001337243
ABCA5,0.526164582,0.011814184,0.546078046,0.215067607,no value,no value,0.84857835,0.019618382
ABCA6,0.5355347,0.000122662,no value,no value,no value,no value,1.196822112,0.085045441
ABCA7,0.455966603,4.87E-09,214.3932141,2.23E-05,no value,no value,0.868533618,0.25753287
ABCA8,1.506973884,0.00188167,1.105608259,0.097026229,no value,no value,1.13588413,0.435481088
ABCA9,1.165055257,0.00035848,no value,no value,no value,no value,1.864773462,0.001525542
ABCB1,0.303085755,2.80E-13,0.286869332,0.128997456,4.148524715,0.000458809,2.27483333,5.28E-05
ABCB10,0.599635112,3.66E-06,Inf,0.031306663,no value,no value,0.955342699,0.126765106
ABCB11,1.022011221,0.777405517,no value,no value,no value,no value,0.880173217,0.016802772
ABCB4,0.881736029,0.293989996,0.896022836,0.003730337,0.917771771,0.052493694,1.288042748,0.019732027
ABCB5,0.746427718,0.004553065,no value,no value,no value,no value,0.688722658,3.17E-06
ABCB6,1.063258828,5.29E-05,9.459418464,8.39E-05,no value,no value,3.773745587,7.58E-05
