id currentSymbol gid updatedSymbol
cg00720072 39877 GeneID:54708 MARCH5
cg00763679 40058 GeneID:4735 SEPT2
cg00899086 40067 GeneID:55752 SEPT11
cg02479196 39879 GeneID:64844 MARCH7
cg02702510 39880 GeneID:220972 MARCH8
cg03330678 40065 GeneID:10801 SEPT9
cg03552103 40066 GeneID:151011 SEPT10
cg04283938 40059 GeneID:55964 SEPT3
cg04452095 40065 GeneID:10801 SEPT9
cg04508286 40063 GeneID:989 SEPT7
cg04761824 40148 GeneID:50514 DEC1
cg07259382 39873 GeneID:55016 MARCH1
cg07847428 39874 GeneID:51257 MARCH2
cg08103676 39878 GeneID:10299 MARCH6
cg09581098 40062 GeneID:23157 SEPT6
cg12776163 40063 GeneID:989 SEPT7
cg13477510 40061 GeneID:5413 SEPT5
cg13806670 39880 GeneID:220972 MARCH8
cg15749858 7A5 GeneID:346389 MACC1
cg16220183 40060 GeneID:5414 SEPT4
cg17271365 39873 GeneID:55016 MARCH1
cg17455591 40071 GeneID:9403 SELENOF
cg17470637 39874 GeneID:51257 MARCH2
cg18409845 39877 GeneID:54708 MARCH5
cg19289461 40057 GeneID:1731 SEPT1
cg19663795 40057 GeneID:1731 SEPT1
cg19976011 40071 GeneID:9403 SELENOF
cg20126158 39878 GeneID:10299 MARCH6
cg20286074 39905 GeneID:23591 FAM215A
cg20359349 39905 GeneID:23591 FAM215A
cg21501064 40062 GeneID:23157 SEPT6
cg21537939 40066 GeneID:151011 SEPT10
cg23408913 40067 GeneID:55752 SEPT11
cg23888423 40058 GeneID:4735 SEPT2
cg24783979 40061 GeneID:5413 SEPT5
cg25084220 39875 GeneID:115123 MARCH3
cg25459323 40059 GeneID:55964 SEPT3
cg25842356 39875 GeneID:115123 MARCH3
cg26981881 40148 GeneID:50514 DEC1
